POINTNAME,POINTNUMBER,UNIT,ASSETID,CIRCUIT,STATIONNAME
RAR1599 - Max Demand I-2,1896955,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0015945 - Volts,1171386,VOLTS,DMS.4051608E:0015945,ALMANSOR,ALHAMBRA
0013253 - Volts,1153961,VOLTS,DMS.1724674E:0013253,DOLGEVILLE,ALHAMBRA
0038298 - Volts,801605,VOLTS,DMS.508846E:0038298,ALMANSOR,ALHAMBRA
RFI22268A - Conductor Temp,1796753,DEG C,DMS.1723496E:RFI22268A,ASTEROID,ALHAMBRA
RSR2052 - Fault Current,847941,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - KW B,847961,KW,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
0193410 - Volts,886995,VOLTS,DMS.4490927E:0193410,WOODWARD,ALHAMBRA
0013258 - Volts,889570,VOLTS,DMS.4490927E:0013258,WOODWARD,ALHAMBRA
RSR1186 - Phase Trip,836190,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - Demand IB,836198,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
0013262 - Volts,829699,VOLTS,DMS.1724968E:0013262,MARENGO,ALHAMBRA
RSR1230 - Phase Trip,855317,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - Fault Current,855321,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - VC,855339,KV,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RFI00660A - Conductor Temp,1757433,DEG C,DMS.1723109E:RFI00660A,MARGUERITA,ALHAMBRA
RSR2078 - Demand IA,814868,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
0180152 - Volts,978815,VOLTS,DMS.4808266E:0180152,CRESTA,ALHAMBRA
RSR1493 - Demand IB,813887,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - Demand IC,813910,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - Ground Trip,813918,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - V2,862515,KV,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - KW C,813911,KW,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR0342 - Demand IG,820995,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Fault Current,821022,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Ground Trip,821052,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - VA,820996,KV,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - KW B,821026,KW,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR1048 - IG,821469,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - Max Demand IC,821507,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - VA,821446,KV,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - KW C,821479,KW,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR8087 - 3I2,876617,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - Max Demand IB,867699,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - Demand IB,867728,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - Demand IG,844089,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - KW C,844123,KW,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0038464 - Volts,935435,VOLTS,DMS.1237299E:0038464,TRI CITY,ALHAMBRA
0187221 - Volts,989255,VOLTS,DMS.5567758:0187221,TRIUMPH,ALHAMBRA
RAR1599 - Demand I-1,1896942,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Max Demand I-G,1896957,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0192955 - Volts,1054505,VOLTS,DMS.5633494:0192955,ST. CHARLES,ALHAMBRA
0013660 - Volts,1115934,VOLTS,DMS.583321E:0013660,TEST,ALHAMBRA
0044618 - Volts,1167661,VOLTS,DMS.742956E:0044618,TAKNING,ALHAMBRA
0005079 - Volts,876215,VOLTS,DMS.1430542E:0005079,ST. CHARLES,ALHAMBRA
RSR2052 - Demand IA,847934,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - Max Demand IG,847965,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - Ground Trip,847971,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RFI01484B - Conductor Temp,1784333,DEG C,DMS.4353599E:RFI01484B,TRI CITY,ALHAMBRA
0211770 - Volts,886518,VOLTS,DMS.5728519:0211770,KAY,ALHAMBRA
RSR1186 - Demand IA,836181,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - VA,836178,KV,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1230 - Max Demand IG,855345,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - Ground Trip,855351,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - VS,855346,KV,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - KW A,855368,KW,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR2078 - Max Demand IA,814880,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - KW C,814898,KW,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR1493 - Max Demand IG,813912,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - 3I2,862516,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - KW B,813908,KW,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1048 - Demand IB,821471,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - 3I2,862238,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR8087 - Demand IA,867706,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - VS,867738,KV,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - KW C,867736,KW,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - Demand IB,844099,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - VS,844125,KV,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - KW 3PH,844148,KW,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0208260 - Volts,1012565,VOLTS,DMS.4134171E:0208260,ALMANSOR,ALHAMBRA
RAR1599 - Phase Trip,1235036,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Ground Trip,1235037,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Demand I-G,1896945,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Instant. I-3,1896952,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0038301 - Volts,1171436,VOLTS,DMS.2336336E:0038301,MARGUERITA,ALHAMBRA
