POINTNAME,POINTNUMBER
RFI22268B - Conductor Temp,1796773
RFI22268C - Conductor Temp,1796793
RSR1003 - Phase Trip,844096
RSR1003 - IG,844097
RSR1003 - Demand IB,844099
RSR1003 - Fault Current,844100
RSR1003 - VB,844101
RSR1003 - VC,844118
RSR1003 - KW B,844120
RSR1003 - Max Demand IA,844121
RSR1003 - Demand IC,844122
RSR1003 - KW C,844123
RSR1003 - Max Demand IG,844124
RSR1003 - VS,844125
RSR1003 - IB,844127
RSR1003 - IC,844128
RSR1003 - Ground Trip,844130
RSR1003 - KW A,844131
RSR1003 - KW 3PH,844148
RSR1003 - IA,844150
RSR1003 - Max Demand IC,844151
RSR2052 - Max Demand IB,847911
RSR2052 - Demand IG,847930
RSR2052 - VA,847931
RSR2052 - Demand IA,847934
RSR2052 - Phase Trip,847937
RSR2052 - IG,847938
RSR2052 - Demand IB,847940
RSR2052 - Fault Current,847941
RSR2052 - VB,847958
RSR2052 - VC,847959
RSR2052 - KW B,847961
RSR2052 - Max Demand IA,847962
RSR2052 - Demand IC,847963
RSR2052 - KW C,847964
RSR2052 - Max Demand IG,847965
RSR2052 - VS,847966
RSR2052 - IB,847968
RSR2052 - IC,847969
RSR2052 - Ground Trip,847971
RSR2052 - KW A,847988
RSR2052 - KW 3PH,847989
RSR2052 - IA,847991
RSR2052 - Max Demand IC,847992
RSR1048 - V2,862221
RSR1048 - 3I2,862238
RSR1186 - V2,862667
RSR1186 - 3I2,862668
RSR1003 - V2,863241
RSR1003 - 3I2,863258
RSR1230 - Max Demand IB,855291
RSR1230 - Demand IG,855310
RSR1230 - VA,855311
RSR1493 - V2,862515
RSR2052 - V2,862929
RSR2052 - 3I2,862930
RSR1230 - Demand IA,855314
RSR1230 - Phase Trip,855317
RSR1230 - IG,855318
RSR1230 - Demand IB,855320
RSR1230 - Fault Current,855321
RSR1230 - VB,855338
RSR1230 - VC,855339
RSR1230 - KW B,855341
RSR1230 - Max Demand IA,855342
RSR1230 - Demand IC,855343
RSR1230 - KW C,855344
RSR1230 - Max Demand IG,855345
RSR1230 - VS,855346
RSR1230 - IB,855348
RSR1230 - IC,855349
RSR1230 - Ground Trip,855351
RSR1230 - KW A,855368
RSR1230 - KW 3PH,855369
RSR1230 - IA,855371
RSR1230 - Max Demand IC,855372
RSR1493 - 3I2,862516
RSR2078 - V2,862521
RSR2078 - 3I2,862538
RCS1369-3 - AC Mains Voltage,1500912
0193410 - Volts,886995
RSR0342 - V2,862757
RSR0342 - 3I2,862758
RSR1230 - V2,861229
RSR1230 - 3I2,861230
0211770 - Volts,886518
0013258 - Volts,889570
RSR8087 - Max Demand IB,867699
RSR8087 - Demand IG,867702
RSR8087 - VA,867703
RSR8087 - Demand IA,867706
RSR8087 - Phase Trip,867709
RSR8087 - IG,867710
RSR8087 - Demand IB,867728
RSR8087 - Fault Current,867729
RSR8087 - VB,867730
RSR8087 - VC,867731
RSR8087 - KW B,867733
RSR8087 - Max Demand IA,867734
RSR8087 - Demand IC,867735
RSR8087 - KW C,867736
RSR8087 - Max Demand IG,867737
RSR8087 - VS,867738
RSR8087 - IB,867740
RSR8087 - IC,867741
RSR8087 - Ground Trip,867759
RSR8087 - KW A,867760
RSR8087 - KW 3PH,867761
RSR8087 - IA,867763
RSR8087 - Max Demand IC,867764
